YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,STNDVERT,LPVERT,LANE,SPRINT,BENCH,BAR,PBHGT,PDHGT,Unnamed: 0,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,target_5yrs
2018.0,"Trent, Gary",SG,76.25,204.2,24.7,0.07,80.75,98.0,33.5,39.5,11.37,3.12,12.0,105.9%,131.5,137.5,1204.0,69.0,17.7,7.5,3.2,6.2,51.3,0.0,0.1,0.0,1.1,2.0,55.3,1.2,2.2,3.4,0.7,0.4,0.2,1.3,1.0
2016.0,"Brogdon, Malcolm",SG,75.75,223.0,27.3,0.054,82.5,98.0,30.5,35.5,10.77,3.31,7.8,108.9%,128.5,133.5,884.0,32.0,22.9,8.3,3.2,6.9,46.2,0.9,2.1,44.1,0.9,1.1,85.7,0.4,2.1,2.5,3.6,1.0,0.1,1.5,0.0
2016.0,"Brown, Jaylen",SG-SF,77.25,222.8,26.2,0.051,83.75,102.5,29.6,36.1,11.024,3.2439999999999998,9.4,108.4%,132.7,139.2,643.0,34.0,13.4,4.9,1.9,4.4,44.6,0.4,1.1,31.6,0.7,1.1,63.2,0.6,1.2,1.8,0.6,0.3,0.3,0.6,0.0
2016.0,"Chriss, Marquese",PF,80.75,233.0,25.1,0.085,84.25,105.0,32.5,38.5,11.93,3.26,12.8,104.3%,137.5,143.5,332.0,34.0,17.1,7.0,2.7,6.3,42.7,0.6,2.1,31.0,1.0,1.7,59.6,1.1,2.2,3.3,0.5,0.5,0.5,1.2,0.0
2016.0,"Dunn, Kris",PG,75.0,0.0,0.0,0.0622,81.5,100.0,31.7,38.2,10.916,3.2439999999999998,9.2,108.7%,129.3,135.8,436.0,33.0,16.9,4.1,1.5,4.1,37.3,0.3,0.9,29.0,0.8,1.2,62.5,0.4,1.9,2.2,2.4,1.0,0.3,1.2,0.0
2016.0,"Felder, Kay",PG,68.25,177.2,26.7,0.058,74.5,88.5,35.5,44.0,11.52,3.15,11.0,109.2%,124.0,132.5,679.0,15.0,11.0,5.4,1.8,4.1,43.5,0.3,0.6,44.4,1.5,2.0,76.7,0.1,1.1,1.3,1.9,0.4,0.2,0.7,0.0
2016.0,"Finney-Smith, Dorian",SF,78.5,212.6,24.3,0.065,83.75,105.5,32.5,35.5,11.01,3.27,9.4,106.7%,138.0,141.0,963.0,33.0,22.8,5.2,1.9,4.6,40.5,0.9,2.8,32.3,0.6,0.8,76.0,0.7,2.2,2.8,1.0,0.6,0.3,0.7,0.0
2016.0,"LeVert, Caris",SG,77.75,191.0,22.2,0.076,82.0,101.0,29.5,35.8,11.15,3.2659999999999996,4.0,105.5%,128.8,135.1,596.0,12.0,15.5,4.7,1.6,4.4,35.8,0.8,2.6,32.3,0.7,1.0,66.7,0.3,2.3,2.6,1.3,0.9,0.2,0.6,0.0
2016.0,"McCaw, Patrick",PG-SG,77.25,180.8,21.3,0.047,82.0,100.5,30.0,38.0,11.01,3.3,11.2,106.1%,130.5,138.5,661.0,26.0,12.2,2.8,1.1,2.8,38.9,0.6,1.5,37.5,0.1,0.2,50.0,0.3,0.8,1.0,1.0,0.4,0.3,0.6,0.0
2016.0,"Valentine, Denzel",SG-SF,76.0,210.4,25.6,0.092,82.75,102.0,27.0,32.0,10.51,3.46,10.0,108.9%,129.0,134.0,700.0,22.0,10.6,2.5,0.8,3.0,27.7,0.5,1.9,26.2,0.3,0.4,87.5,0.0,1.6,1.6,0.5,0.3,0.1,0.4,0.0
2016.0,"Whitehead, Isaiah",PG-SG,75.25,210.0,26.1,0.093,80.75,100.0,27.5,35.5,11.65,3.34,6.0,107.3%,127.5,135.5,1051.0,25.0,22.6,6.7,2.6,6.4,41.3,0.5,1.8,28.3,0.9,1.2,76.7,0.2,2.0,2.2,3.0,0.7,0.5,2.2,0.0
2016.0,"Williams, Troy",SF,77.75,217.8,25.3,0.1,80.25,102.0,30.0,36.0,10.72,3.35,9.8,103.2%,132.0,138.0,227.0,24.0,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1.0,60.0,0.3,1.6,1.8,0.8,1.0,0.4,1.1,0.0
2015.0,"Anderson, Justin",SF-SG,77.25,230.6,27.2,0.05,83.75,101.0,38.0,43.0,11.13,3.22,12.0,108.4%,139.0,144.0,998.0,55.0,11.8,3.8,1.3,3.2,40.6,0.4,1.5,26.5,0.8,1.0,80.0,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.0
2015.0,"Booker, Devin",SG,76.5,205.8,24.7,0.083,80.25,102.5,27.5,34.5,10.27,3.28,8.0,104.9%,130.0,137.0,772.0,76.0,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,0.4,2.1,2.5,2.6,0.6,0.3,2.1,0.0
2015.0,"Brown, Anthony",SF-SG,77.75,211.0,24.5,0.061,83.0,104.5,27.5,34.5,10.94,3.18,4.0,106.8%,132.0,139.0,845.0,29.0,20.7,4.0,1.3,4.3,31.0,0.7,2.4,28.6,0.6,0.7,85.0,0.3,2.1,2.4,0.7,0.5,0.2,0.5,0.0
2015.0,"Cauley-Stein, Willie",C,83.25,242.4,24.6,0.063,87.0,111.0,28.1,31.9,11.645999999999999,3.3839999999999995,14.0,104.5%,135.4,139.2,810.0,66.0,21.4,7.0,2.9,5.1,56.3,0.0,0.0,0.0,1.2,1.9,64.8,2.0,3.3,5.3,0.6,0.7,1.0,0.7,0.0
2015.0,"Grant, Jerian",PG,75.25,198.0,24.6,0.056,79.5,100.0,30.4,34.7,11.120000000000001,3.1919999999999997,10.8,105.6%,132.6,136.9,916.0,76.0,16.6,5.6,2.0,5.1,39.4,0.3,1.3,22.0,1.3,1.6,78.0,0.3,1.6,1.9,2.3,0.7,0.1,1.1,0.0
2015.0,"Harrison, Andrew",PG,76.5,213.2,25.6,0.059,81.0,100.0,26.5,33.0,11.2,3.34,9.2,105.9%,126.5,133.0,1.0,35.0,26.9,7.2,2.0,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,2.4,3.7,1.1,0.5,1.6,0.0
2015.0,"Hollis-Jefferson, Rondae",SF,77.5,210.8,24.7,0.05,86.0,104.0,32.0,38.0,10.41,3.12,13.0,111.0%,136.0,142.0,827.0,29.0,21.2,5.8,2.2,4.8,45.7,0.1,0.5,28.6,1.3,1.8,71.2,1.3,4.0,5.3,1.5,1.3,0.6,0.9,0.0
2015.0,"Holmes, Richaun",PF,80.25,242.8,26.5,0.088,85.5,108.0,32.5,36.0,11.24,3.32,15.0,106.5%,140.5,144.0,981.0,51.0,13.8,5.6,2.2,4.4,51.4,0.2,0.9,18.2,1.0,1.5,68.9,1.2,1.4,2.6,0.6,0.4,0.8,0.6,0.0
2015.0,"Johnson, Stanley",SF,77.0,241.8,28.7,0.075,83.5,102.0,31.2,35.5,11.624,3.35,12.8,108.4%,136.2,140.5,781.0,73.0,23.1,8.1,3.1,8.2,37.5,0.9,2.8,30.7,1.1,1.4,78.4,0.8,3.4,4.2,1.6,0.8,0.2,1.6,0.0
2015.0,"Jones, Tyus",PG,72.5,184.6,24.7,0.065,77.0,97.0,26.5,32.5,11.84,3.32,2.0,106.2%,123.5,129.5,931.0,37.0,15.5,4.2,1.5,4.2,35.9,0.4,1.4,30.2,0.8,1.1,71.8,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.0
2015.0,"Kaminsky, Frank",C-PF,83.75,231.2,23.2,0.094,83.0,109.5,30.8,35.8,10.876,3.2399999999999998,12.4,99.1%,136.3,141.3,835.0,81.0,21.1,7.5,2.7,6.5,41.0,0.8,2.5,33.7,1.3,1.8,73.0,0.9,3.3,4.1,1.2,0.5,0.5,0.7,0.0
2015.0,"Martin, Jarell",PF,80.0,238.6,26.2,0.101,81.0,106.5,28.5,35.0,11.2,3.27,19.0,101.3%,135.0,141.5,972.0,27.0,14.1,5.7,2.0,4.3,46.6,0.0,0.1,0.0,1.7,2.3,72.6,1.4,1.7,3.2,0.6,0.3,0.3,0.7,0.0
2015.0,"McConnell, TJ",PG,72.5,187.8,25.1,0.073,74.0,96.5,26.0,31.5,10.95,3.3,7.0,102.1%,122.5,128.0,865.0,81.0,19.8,6.1,2.7,5.7,47.0,0.4,1.1,34.8,0.3,0.5,63.4,0.5,2.6,3.1,4.5,1.2,0.1,1.7,0.0
2015.0,"McCullough, Chris",PF,80.25,199.0,21.7,0.062,87.25,109.0,31.4,35.6,11.154,3.2700000000000005,11.0,108.7%,131.9,136.1,940.0,24.0,15.1,4.7,1.8,4.5,40.4,0.5,1.4,38.2,0.5,1.0,47.8,1.0,1.8,2.8,0.4,1.2,0.5,0.6,0.0
2015.0,"Nance, Larry",PF,79.5,226.6,25.2,0.064,85.5,108.0,29.0,37.5,10.93,3.25,10.0,107.5%,137.0,145.5,517.0,80.0,14.8,6.6,2.8,5.5,52.1,0.0,0.0,0.0,0.9,1.5,64.1,1.2,2.0,3.2,1.0,0.5,0.9,1.3,1.0
2015.0,"Oubre, Kelly",SF-SG,77.75,202.8,23.6,0.057,86.25,102.5,34.5,37.0,11.09,3.32,7.0,110.9%,137.0,139.5,1036.0,63.0,10.7,3.7,1.4,3.3,42.7,0.4,1.3,31.6,0.5,0.8,63.3,0.4,1.7,2.1,0.2,0.3,0.1,0.5,0.0
2015.0,"Payne, Cameron",PG,72.75,182.8,24.3,0.063,79.25,97.5,29.8,35.5,10.9,3.28,0.0,108.9%,127.3,133.0,991.0,57.0,12.2,5.0,2.0,4.9,41.0,0.6,1.9,32.4,0.3,0.4,79.2,0.2,1.3,1.5,1.9,0.6,0.1,0.8,0.0
2015.0,"Portis, Bobby",PF,81.5,246.2,26.1,0.089,86.0,108.5,25.0,31.5,11.78,3.56,5.0,105.5%,133.5,140.0,898.0,62.0,17.8,7.0,3.0,7.0,42.7,0.3,0.8,30.8,0.8,1.1,72.7,2.0,3.5,5.4,0.8,0.4,0.3,0.9,0.0
2015.0,"Powell, Norman",SG,75.0,215.4,26.9,0.064,82.75,102.5,32.5,40.5,10.69,3.2,5.0,110.3%,135.0,143.0,946.0,49.0,14.8,5.6,2.0,4.7,42.4,0.7,1.8,40.4,0.9,1.1,81.1,0.3,1.9,2.3,1.0,0.6,0.2,0.7,0.0
2015.0,"Russell, D?Angelo",PG-SG,75.25,193.4,24.0,0.083,81.75,102.0,31.4,37.3,11.284,3.164,5.8,108.6%,132.9,138.8,764.0,80.0,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,1.2,0.2,2.5,0.0
2015.0,"Thornton, Marcus",PG-SG,73.75,177.4,22.9,0.053,79.75,97.5,34.5,43.0,10.78,3.02,3.0,108.1%,132.0,140.5,704.0,73.0,25.6,14.5,5.5,12.1,45.1,1.6,4.3,37.4,2.0,2.4,81.4,1.0,1.9,2.9,1.6,0.8,0.1,1.0,1.0
2015.0,"Turner, Myles",C-PF,81.75,238.6,25.1,0.093,88.0,112.0,30.7,34.8,11.59,3.412,13.4,107.6%,136.2,140.3,790.0,60.0,22.8,10.3,4.4,8.8,49.8,0.1,0.2,21.4,1.5,2.0,72.7,1.1,4.4,5.5,0.7,0.4,1.4,1.1,0.0
2015.0,"Vaughn, Rashad",SG,75.75,198.6,24.3,0.062,79.0,101.0,28.0,34.0,11.4,3.21,5.0,104.3%,129.0,135.0,964.0,70.0,14.3,3.1,1.2,3.8,30.5,0.6,2.1,29.3,0.2,0.2,80.0,0.2,1.1,1.3,0.6,0.4,0.2,0.4,0.0
2015.0,"Winslow, Justise",SF,76.5,221.8,26.6,0.053,82.25,104.5,31.3,35.6,11.476,3.2079999999999997,12.6,107.5%,135.4,139.7,747.0,78.0,28.6,6.4,2.5,5.9,42.2,0.4,1.5,27.6,1.0,1.5,68.4,1.0,4.1,5.2,1.5,0.9,0.3,1.2,0.0
2014.0,"Anderson, Kyle",SF,79.5,230.1,25.6,0.134,86.75,107.5,31.6,38.2,11.628,3.308,9.2,109.1%,135.6,142.2,98.0,33.0,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.5,0.2,0.3,0.0
2014.0,"Brown, Markel",SG,74.5,184.4,23.4,0.042,80.75,100.0,36.5,43.5,12.62,3.18,9.4,108.4%,136.5,143.5,1289.0,47.0,16.6,4.6,1.6,4.5,36.2,0.4,1.4,26.6,1.0,1.2,82.5,0.3,1.9,2.3,0.8,0.7,0.3,0.6,0.0
2014.0,"Christon, Semaj",PG,73.5,186.0,24.2,0.053,78.5,99.0,30.5,36.5,11.55,3.32,4.8,106.8%,129.5,135.5,587.0,33.0,15.6,3.0,1.3,4.0,31.8,0.2,1.1,16.7,0.3,0.5,52.9,0.4,1.0,1.4,2.5,0.4,0.1,0.7,0.0
2014.0,"Clarkson, Jordan",PG,75.25,186.3,23.1,0.043,80.0,98.0,33.0,38.5,10.76,3.28,6.0,106.3%,131.0,136.5,1118.0,59.0,25.0,11.9,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,0.9,0.2,1.6,0.0
2014.0,"Dinwiddie, Spencer",PG,76.5,204.9,24.6,0.054,80.25,103.0,29.8,35.5,11.604000000000001,3.3340000000000005,9.2,104.9%,132.6,138.3,34.0,34.0,13.4,4.3,1.5,5.0,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1.0,0.0
2014.0,"Early, Cleanthony",SF,78.0,209.4,24.2,0.045,82.75,101.5,34.0,40.0,11.15,3.18,10.8,106.1%,135.5,141.5,1299.0,39.0,16.6,5.4,1.9,5.5,35.5,0.6,2.2,26.2,0.9,1.2,75.0,0.6,1.9,2.5,0.9,0.6,0.3,1.0,0.0
2014.0,"Gordon, Aaron",PF,79.5,220.1,24.5,0.051,83.75,105.0,32.5,39.0,10.81,3.27,10.8,105.3%,137.5,144.0,1271.0,47.0,17.0,5.2,2.0,4.4,44.7,0.3,1.0,27.1,0.9,1.3,72.1,1.0,2.6,3.6,0.7,0.5,0.5,0.8,0.0
2014.0,"Grant, Jerami",SF,78.5,214.0,24.4,0.038,86.75,107.0,31.9,38.3,11.462,3.198,8.2,110.5%,131.1,137.5,1185.0,65.0,21.2,6.3,1.9,5.4,35.2,0.8,2.4,31.4,1.8,3.0,59.1,0.8,2.3,3.0,1.2,0.6,1.1,1.3,0.0
2014.0,"Hairston, P.J.",SG,76.25,228.8,27.7,0.082,81.0,101.0,32.0,37.0,11.12,3.32,9.2,106.2%,133.0,138.0,13.0,45.0,15.3,5.6,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.3,0.5,0.0
2014.0,"Harris, Gary",SG,74.5,204.8,25.9,0.046,78.75,96.0,29.8,36.1,11.276,3.312,9.2,105.7%,131.9,138.2,64.0,55.0,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,0.0
2014.0,"Hood, Rodney",SF,79.25,208.2,23.3,0.075,80.5,103.0,29.0,36.0,11.21,3.38,9.4,101.6%,132.0,139.0,1175.0,50.0,21.3,8.7,3.1,7.5,41.4,1.2,3.4,36.5,1.2,1.6,76.3,0.2,2.2,2.3,1.7,0.6,0.2,0.9,0.0
2014.0,"Jefferson, Cory",PF,79.75,218.4,24.1,0.053,84.5,105.0,33.0,37.5,12.63,3.36,9.2,106.0%,138.0,142.5,131.0,50.0,10.6,3.7,1.5,3.3,44.9,0.0,0.3,13.3,0.6,1.1,57.4,0.9,2.0,2.9,0.3,0.2,0.4,0.4,0.0
2014.0,"LaVine, Zach",PG,76.5,180.9,21.7,0.047,80.25,100.0,33.5,41.5,10.42,3.19,6.0,104.9%,133.5,141.5,1129.0,77.0,24.7,10.1,3.7,8.8,42.2,0.7,2.2,34.1,1.9,2.3,84.2,0.4,2.4,2.8,3.6,0.7,0.1,2.5,0.0
2014.0,"McDaniels, K.J.",SF,76.5,195.6,23.5,0.045,83.25,102.0,33.0,37.0,12.71,3.1,9.4,108.8%,135.0,139.0,1166.0,62.0,21.8,7.9,2.8,7.0,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1.0,2.2,3.2,1.2,0.7,1.1,1.7,0.0
2014.0,"Napier, Shabazz",PG,71.0,175.2,24.4,0.074,75.25,93.0,30.5,37.5,11.6,3.2,9.4,106.0%,123.5,130.5,1212.0,51.0,19.8,5.1,1.7,4.5,38.2,0.8,2.3,36.4,0.9,1.1,78.6,0.3,1.9,2.2,2.5,0.8,0.1,1.6,0.0
2014.0,"Patterson, Lamar",SG,76.0,226.0,27.5,0.108,83.0,101.0,27.5,32.5,11.63,3.45,10.8,109.2%,128.5,133.5,1015.0,35.0,11.3,2.4,0.8,2.3,35.0,0.3,1.4,24.5,0.5,0.6,72.7,0.1,1.3,1.4,1.1,0.3,0.1,0.7,0.0
2014.0,"Payne, Adreian",PF,81.0,238.5,25.6,0.076,88.0,109.0,32.3,37.4,11.373999999999999,3.228,9.6,108.6%,132.3,137.4,1147.0,32.0,23.1,6.7,2.8,6.9,41.4,0.0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,0.6,0.3,1.4,0.0
2014.0,"Payton, Elfrid",PG,74.5,185.4,23.5,0.057,80.0,98.5,31.5,35.5,11.06,3.23,4.8,107.4%,130.0,134.0,1091.0,82.0,30.4,8.9,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3.0,4.3,6.5,1.7,0.2,2.5,0.0
2014.0,"Smart, Marcus",PG,74.0,227.2,29.2,0.106,81.25,99.0,33.0,36.0,10.82,3.26,7.4,109.8%,132.0,135.0,1107.0,67.0,27.0,7.8,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,0.9,2.4,3.3,3.1,1.5,0.3,1.3,0.0
2014.0,"Vonleh, Noah",PF,80.0,247.1,27.1,0.073,88.25,108.0,31.0,37.0,11.45,3.28,9.2,110.3%,139.0,145.0,141.0,25.0,10.4,3.3,1.2,3.0,39.5,0.2,0.5,38.5,0.7,1.0,69.2,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.0
2014.0,"Warren, T.J.",SF,79.0,220.2,24.8,0.08,82.25,104.0,27.0,35.5,11.1,3.26,10.8,104.1%,131.0,139.5,1329.0,40.0,15.4,6.1,2.8,5.4,52.8,0.1,0.5,23.8,0.4,0.5,73.7,1.0,1.1,2.1,0.6,0.5,0.2,0.7,0.0
2014.0,"Young, James",SG,77.25,213.3,25.1,0.051,84.0,104.0,28.0,35.5,11.348,3.272,9.2,108.7%,132.0,139.5,119.0,31.0,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.0
2013.0,"Bullock, Reggie",SG-SF,77.75,199.8,23.2,0.07,80.75,102.0,31.0,36.5,11.33,3.31,11.0,103.9%,133.0,138.5,530.0,43.0,9.2,2.7,1.0,2.8,35.5,0.5,1.7,30.1,0.2,0.2,77.8,0.3,1.0,1.3,0.3,0.2,0.0,0.3,0.0
2013.0,"Burke, Trey",PG,71.75,187.0,25.5,0.069,77.5,97.5,29.5,36.5,11.2,3.16,3.0,108.0%,127.0,134.0,172.0,70.0,32.3,12.8,4.9,12.8,38.0,1.6,4.8,33.0,1.5,1.6,90.3,0.5,2.4,3.0,5.7,0.6,0.1,1.9,0.0
2013.0,"Caldwell-Pope, Kentavious",SG,76.5,203.6,24.5,0.065,80.0,100.5,29.0,34.5,10.6,3.12,7.0,104.6%,129.5,135.0,280.0,80.0,19.8,5.9,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77.0,0.5,1.5,2.0,0.7,0.9,0.1,0.3,0.0
2013.0,"Carter-Williams, Michael",PG,76.75,184.4,22.0,0.044,79.25,101.0,31.5,41.0,10.68,3.22,8.0,103.3%,132.5,142.0,150.0,70.0,34.5,16.7,6.1,15.1,40.5,0.8,3.0,26.4,3.7,5.2,70.3,1.4,4.8,6.2,6.3,1.9,0.6,3.5,0.0
2013.0,"Davies, Brandon",PF,80.5,241.8,26.2,0.086,85.5,108.5,26.0,31.5,11.22,3.5,7.0,106.2%,134.5,140.0,456.0,51.0,11.3,2.8,1.1,2.5,42.2,0.0,0.2,20.0,0.7,1.0,64.2,0.7,1.4,2.1,0.5,0.5,0.2,0.7,0.0
2013.0,"Dedmon, Dewayne",C,82.0,238.8,25.0,0.084,88.0,109.0,28.0,32.5,12.75,3.4,8.0,107.3%,137.0,141.5,415.0,31.0,12.6,3.1,1.2,2.7,45.8,0.0,0.0,0.0,0.7,1.0,65.6,1.2,2.9,4.1,0.2,0.2,0.7,0.6,0.0
2013.0,"Goodwin, Archie",SG,75.75,189.0,23.2,0.046,81.5,102.0,30.0,36.0,10.75,3.27,1.0,107.6%,132.0,138.0,467.0,52.0,10.3,3.7,1.5,3.2,45.5,0.1,0.7,13.9,0.7,1.1,67.3,0.5,1.2,1.7,0.4,0.4,0.2,0.8,0.0
2013.0,"Hill, Solomon",SF,77.5,226.0,26.5,0.076,81.0,103.0,29.5,37.5,10.77,3.19,14.0,104.5%,132.5,140.5,562.0,28.0,8.1,1.7,0.6,1.4,42.5,0.3,0.8,30.4,0.2,0.3,85.7,0.3,1.1,1.5,0.4,0.2,0.1,0.5,0.0
2013.0,"Kelly, Ryan",PF,81.75,228.0,24.0,0.148,83.5,110.0,30.2,36.8,11.156,3.178,10.2,102.1%,131.3,137.9,250.0,59.0,22.2,8.0,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3.0,3.7,1.6,0.5,0.8,0.8,0.0
2013.0,"McCallum, Ray",PG,72.25,191.4,25.8,0.073,75.25,96.5,30.5,40.0,10.82,3.25,5.0,104.2%,127.0,136.5,270.0,45.0,19.9,6.2,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1.0,74.4,0.4,1.4,1.8,2.7,0.5,0.2,0.9,0.0
2013.0,"McCollum, CJ",PG-SG,74.25,197.0,25.1,0.086,78.25,96.5,32.0,38.5,11.02,3.32,13.0,105.4%,128.5,135.0,426.0,38.0,12.5,5.3,1.9,4.7,41.6,0.8,2.1,37.5,0.6,0.9,67.6,0.2,1.1,1.3,0.7,0.4,0.1,0.9,0.0
2013.0,"McLemore, Ben",SG,75.5,189.2,23.3,0.05,79.75,100.5,32.5,42.0,11.87,3.27,6.0,105.6%,133.0,142.5,192.0,82.0,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32.0,1.4,1.7,80.4,0.6,2.2,2.9,1.0,0.6,0.2,1.2,0.0
2013.0,"Muhammad, Shabazz",SF-SG,76.75,221.8,26.5,0.09,83.0,104.5,29.5,37.0,10.99,3.32,10.0,108.1%,134.0,141.5,574.0,37.0,7.8,3.9,1.5,3.4,46.0,0.1,0.3,27.3,0.7,1.1,65.0,0.6,0.8,1.4,0.2,0.2,0.0,0.4,0.0
2013.0,"Noel, Nerlens",C,82.0,206.4,21.6,0.042,87.75,110.0,32.1,36.4,10.931999999999999,3.258,4.8,107.0%,132.4,136.7,1081.0,75.0,30.8,9.9,4.0,8.7,46.2,0.0,0.0,0.0,1.9,3.1,60.9,2.5,5.7,8.1,1.7,1.8,1.9,1.9,0.0
2013.0,"Oladipo, Victor",SG,75.25,213.2,26.5,0.066,81.25,100.5,33.0,42.0,10.69,3.25,15.0,108.0%,133.5,142.5,183.0,80.0,31.1,13.8,4.9,11.7,41.9,0.9,2.8,32.7,3.1,4.0,78.0,0.5,3.6,4.1,4.1,1.6,0.5,3.2,0.0
2013.0,"Plumlee, Mason",C-PF,83.25,238.2,24.2,0.062,83.0,108.0,30.5,36.0,10.89,3.29,14.0,99.7%,138.5,144.0,301.0,70.0,18.2,7.4,2.8,4.3,65.9,0.0,0.0,0.0,1.7,2.8,62.6,1.4,3.0,4.4,0.9,0.7,0.8,1.1,0.0
2013.0,"Porter, Otto",SF,79.5,197.6,22.0,0.067,85.5,105.5,27.0,36.0,11.25,3.4,9.0,107.5%,132.5,141.5,542.0,37.0,8.6,2.1,0.9,2.5,36.3,0.1,0.6,19.0,0.2,0.3,66.7,0.6,1.0,1.5,0.3,0.2,0.0,0.4,0.0
2013.0,"Pressey, Phil",PG,69.5,177.0,25.8,0.047,74.25,92.0,33.0,38.5,10.86,3.13,7.0,106.8%,125.0,130.5,351.0,75.0,15.1,2.8,1.0,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.3,1.1,1.4,3.2,0.9,0.1,1.2,0.0
2013.0,"Rice, Glen",SF-SG,76.5,210.8,25.3,0.085,81.25,101.5,33.0,40.5,10.99,3.25,10.0,106.2%,134.5,142.0,126.0,77.0,30.0,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,1.0
2013.0,"Rice, Glen",SF-SG,76.5,210.8,25.3,0.085,81.25,101.5,33.0,40.5,10.99,3.25,10.0,106.2%,134.5,142.0,127.0,77.0,30.0,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,0.0
2013.0,"Roberson, Andre",PF-SF,78.25,205.8,23.6,0.071,83.0,104.5,30.0,36.5,11.36,3.34,10.0,106.1%,134.5,141.0,479.0,40.0,10.0,1.9,0.8,1.7,48.5,0.1,0.3,15.4,0.2,0.3,70.0,0.9,1.5,2.4,0.4,0.5,0.3,0.5,0.0
2013.0,"Siva, Peyton",PG,71.5,180.6,24.8,0.061,75.0,93.0,33.5,41.5,10.59,3.16,15.0,104.9%,126.5,134.5,520.0,24.0,9.3,2.3,0.8,2.4,31.6,0.3,1.0,28.0,0.5,0.6,73.3,0.1,0.5,0.6,1.4,0.4,0.0,0.8,0.0
2013.0,"Snell, Tony",SF-SG,78.0,198.2,22.9,0.049,83.5,105.5,30.0,36.5,11.36,3.25,7.0,107.1%,135.5,142.0,342.0,77.0,16.0,4.5,1.7,4.4,38.4,0.7,2.3,32.0,0.4,0.5,75.6,0.2,1.4,1.6,0.9,0.4,0.2,0.6,0.0
